course,season,avg_score_to_par,avg_sg_total
"Aronimink Golf Club - Newton Square, PA",2018,-8.514705882352942,0.008676470588235235
"Augusta National Golf Club - Augusta, GA",2022,4.285714285714286,0.7789795918367347
"Baltusrol - Springfield, NJ",2016,-2.0,0.9098648648648648
"Bay Hill - Orlando, FL",2015,-6.8307692307692305,0.7976923076923077
"Bay Hill - Orlando, FL",2017,-0.18840579710144928,0.851159420289855
"Bay Hill - Orlando, FL",2018,-2.6184210526315788,0.6446052631578948
"Bay Hill - Orlando, FL",2019,-1.8714285714285714,0.7878571428571428
"Bay Hill - Orlando, FL",2020,6.492753623188406,0.7768115942028985
"Bay Hill - Orlando, FL",2021,1.1388888888888888,0.7652777777777778
"Bay Hill - Orlando, FL",2022,5.68,0.622
"Bellerive Country Club - St. Louis, MO",2018,-4.0,0.9011842105263157
"Bethpage - Farmingdale, NY",2019,6.407407407407407,1.0281481481481483
"Caves Valley Golf Club - Baltimore, MD",2021,-11.18840579710145,-0.0028985507246376678
"Chapultepec - Mexico City, Mexico",2017,-0.671875,0.21796874999999996
"Chapultepec - Mexico City, Mexico",2018,-3.5454545454545454,0.2363636363636364
"Chapultepec - Mexico City, Mexico",2019,-1.0144927536231885,0.11362318840579712
"Chapultepec - Mexico City, Mexico",2020,-2.1285714285714286,0.03214285714285714
"Colonial - Ft. Worth, TX",2019,0.6527777777777778,0.6668055555555557
"Colonial - Ft. Worth, TX",2020,-6.149253731343284,0.977313432835821
"Colonial - Ft. Worth, TX",2021,-1.7733333333333334,0.66
"Colonial - Ft. Worth, TX",2022,0.30303030303030304,0.7942424242424243
"Congaree Golf Club - Ridgeland, SC",2021,-3.3968253968253967,1.1792063492063494
"Congressional - Bethesda, MD",2016,-2.5135135135135136,0.5583783783783783
"Conway Farms Golf Club - Lake Forest, IL",2015,-6.294117647058823,0.06352941176470592
"Country Club of Jackson - Jackson, MS",2015,-5.019607843137255,0.7149019607843138
"Country Club of Jackson - Jackson, MS",2017,-7.036363636363636,0.8490909090909091
"Country Club of Jackson - Jackson, MS",2018,-3.933333333333333,0.8933333333333333
"Country Club of Jackson - Jackson, MS",2019,-7.2272727272727275,0.8568181818181818
"Country Club of Jackson - Jackson, MS",2020,-8.454545454545455,0.9036363636363637
"Country Club of Jackson - Jackson, MS",2022,-12.779661016949152,0.908135593220339
"Crooked Stick - Carmel, IN",2016,-4.742424242424242,0.015454545454545478
"Detroit Golf Club - Detroit, MI",2019,-11.408450704225352,0.9421126760563381
"Detroit Golf Club - Detroit, MI",2020,-11.385714285714286,0.8764285714285714
"Detroit Golf Club - Detroit, MI",2021,-9.586666666666666,0.7866666666666666
"Eagle Point Golf Club - Wilmington, NC",2017,-1.196969696969697,0.9227272727272727
"East Lake Golf Club - Atlanta, GA",2015,1.5,0.0007142857142856991
"East Lake Golf Club - Atlanta, GA",2016,-1.4482758620689655,-0.03793103448275859
"East Lake Golf Club - Atlanta, GA",2017,-2.466666666666667,-0.003333333333333381
"East Lake Golf Club - Atlanta, GA",2018,-1.5333333333333334,0.0033333333333333917
"East Lake Golf Club - Atlanta, GA",2019,0.13333333333333333,-0.003333333333333336
"East Lake Golf Club - Atlanta, GA",2020,-4.333333333333333,0.003333333333333292
"East Lake Golf Club - Atlanta, GA",2021,-4.793103448275862,0.004827586206896602
"Firestone Country Club - Akron, OH",2015,2.6885245901639343,0.2978688524590164
"Firestone Country Club - Akron, OH",2016,4.877551020408164,0.1963265306122449
"Firestone Country Club - Akron, OH",2017,1.2686567164179106,0.1828358208955224
"Firestone Country Club - Akron, OH",2018,-1.265625,0.22187499999999996
"Glen Abbey Golf Club - Oakville, Canada",2015,-7.328767123287672,0.9628767123287673
"Glen Abbey Golf Club - Oakville, Canada",2016,-3.242857142857143,0.9378571428571427
"Glen Abbey Golf Club - Oakville, Canada",2017,-10.582089552238806,0.9555223880597017
"Glen Abbey Golf Club - Oakville, Canada",2018,-10.36111111111111,0.9502777777777778
"Glen Oaks Club - Old Westbury, NY",2017,1.1285714285714286,0.707857142857143
"Golf Club of Houston - Houston, TX",2015,-7.265625,0.83640625
"Golf Club of Houston - Houston, TX",2020,-3.8513513513513513,0.8328378378378379
"Hamilton - Hamilton, Ontario, Canada",2019,-5.279411764705882,0.9979411764705882
"Harbour Town Golf Links - Hilton Head Island, SC",2015,-5.357142857142857,0.6992857142857143
"Harbour Town Golf Links - Hilton Head Island, SC",2016,2.315068493150685,0.6361643835616438
"Harbour Town Golf Links - Hilton Head Island, SC",2017,-4.114285714285714,0.7285714285714285
"Harbour Town Golf Links - Hilton Head Island, SC",2018,-3.727272727272727,0.7618181818181818
"Harbour Town Golf Links - Hilton Head Island, SC",2019,-2.242857142857143,0.7807142857142857
"Harbour Town Golf Links - Hilton Head Island, SC",2020,-11.546666666666667,0.8266666666666667
"Harbour Town Golf Links - Hilton Head Island, SC",2021,-6.630769230769231,0.9276923076923076
"Harbour Town Golf Links - Hilton Head Island, SC",2022,-5.529411764705882,0.8323529411764706
"Innisbrook - Palm Harbor, FL",2015,-0.6333333333333333,0.8983333333333333
"Innisbrook - Palm Harbor, FL",2016,2.3114754098360657,0.8752459016393442
"Innisbrook - Palm Harbor, FL",2017,-1.671641791044776,0.917910447761194
"Innisbrook - Palm Harbor, FL",2018,-0.29333333333333333,0.7833333333333333
"Innisbrook - Palm Harbor, FL",2019,0.5072463768115942,0.7831884057971015
"Innisbrook - Palm Harbor, FL",2022,-6.753623188405797,0.9326086956521739
"Kapalua Resort - Kapalua, HI",2018,-7.117647058823529,-0.0005882352941176607
