course,is_long,is_short,fast_greens,is_penal,is_narrow,is_rough,is_target,is_altitude,is_windy,is_coastal,is_classic
"Firestone Country Club - Akron, OH",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Glen Abbey Golf Club - Oakville, Canada",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Glen Oaks Club - Old Westbury, NY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Golf Club of Houston - Houston, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamilton - Hamilton, Ontario, Canada",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Harbour Town Golf Links - Hilton Head Island, SC",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"Innisbrook - Palm Harbor, FL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kapalua Resort - Kapalua, HI",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Keene Trace Golf Club - Nicholasville, KY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kiawah Island Golf Resort - Kiawah Island, SC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"La Quinta CC - La Quinta, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Liberty National - Jersey City, NJ",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Medinah - Medinah, IL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Memorial Park GC - Houston, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Muirfield Village Golf Club - Dublin, OH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Old White Course - White Sulphur Springs, WV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Olympia Fields Country Club - Olympia Fields, IL",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"PGA National - Palm Beach Gardens, FL",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Pebble Beach Resort - Pebble Beach, CA",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
"Quail Hollow Club - Charlotte, NC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Redstone Golf Club - Houston, TX",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ridgewood Country Club - Paramus, NJ",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Riviera Country Club - Pacific Palisades, CA",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Robert Trent Jones Golf Trail - Auburn, AL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sea Island Resort - Sea Island, GA",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
"Sedgefield Country Club - Greensboro, NC",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Shadow Creek GC - Las Vegas, NV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Sherwood CC - Thousand Oaks, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Silverado Resort - Napa, CA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
