course,player,SG Category,SG Value
"Colonial - Ft. Worth, TX",Alex Smalley,OTT,0.13
"Colonial - Ft. Worth, TX",Adam Svensson,OTT,0.2
"Colonial - Ft. Worth, TX",Bill Haas,OTT,0.11
"Colonial - Ft. Worth, TX",Beau Hossler,OTT,0.39
"Colonial - Ft. Worth, TX",Brandt Snedeker,OTT,-1.09
"Colonial - Ft. Worth, TX",Brendon Todd,OTT,0.66
"Colonial - Ft. Worth, TX",Christiaan Bezuidenhout,OTT,-0.03
"Colonial - Ft. Worth, TX",Cameron Davis,OTT,0.33
"Colonial - Ft. Worth, TX",Charley Hoffman,OTT,0.24
"Colonial - Ft. Worth, TX",Chris Kirk,OTT,0.42
"Colonial - Ft. Worth, TX",Collin Morikawa,OTT,-0.39
"Colonial - Ft. Worth, TX",C.T. Pan,OTT,-0.68
"Colonial - Ft. Worth, TX",Chez Reavie,OTT,0.6
"Colonial - Ft. Worth, TX",Daniel Berger,OTT,0.17
"Colonial - Ft. Worth, TX",Dylan Frittelli,OTT,0.28
"Colonial - Ft. Worth, TX",Danny Lee,OTT,-0.37
"Colonial - Ft. Worth, TX",David Lipsky,OTT,-0.06
"Colonial - Ft. Worth, TX",Denny McCarthy,OTT,-0.25
"Colonial - Ft. Worth, TX",Davis Riley,OTT,-0.09
"Colonial - Ft. Worth, TX",Emiliano Grillo,OTT,0.29
"Colonial - Ft. Worth, TX",Harry Higgs,OTT,-1.42
"Colonial - Ft. Worth, TX",Harold Varner III,OTT,-0.23
"Colonial - Ft. Worth, TX",Ian Poulter,OTT,0.28
"Colonial - Ft. Worth, TX",Joel Dahmen,OTT,-0.12
"Colonial - Ft. Worth, TX",John Huh,OTT,0.38
"Colonial - Ft. Worth, TX",Jason Kokrak,OTT,0.51
"Colonial - Ft. Worth, TX",Jordan Spieth,OTT,0.83
"Colonial - Ft. Worth, TX",Kurt Kitayama,OTT,0.58
"Colonial - Ft. Worth, TX",Kevin Na,OTT,-0.97
"Colonial - Ft. Worth, TX",Luke Donald,OTT,-0.85
"Colonial - Ft. Worth, TX",Lucas Glover,OTT,0.34
"Colonial - Ft. Worth, TX",Lucas Herbert,OTT,-0.18
"Colonial - Ft. Worth, TX",Lee Hodges,OTT,-0.02
"Colonial - Ft. Worth, TX",Max Homa,OTT,0.14
"Colonial - Ft. Worth, TX",Mark Hubbard,OTT,-0.38
"Colonial - Ft. Worth, TX",Matt Jones,OTT,0.24
"Colonial - Ft. Worth, TX",Matthew NeSmith,OTT,-0.03
"Colonial - Ft. Worth, TX",Mito Pereira,OTT,1.04
"Colonial - Ft. Worth, TX",Matthias Schwab,OTT,0.06
"Colonial - Ft. Worth, TX",Michael Thompson,OTT,-0.53
"Colonial - Ft. Worth, TX",Martin Trainer,OTT,-0.81
"Colonial - Ft. Worth, TX",Nick Taylor,OTT,-0.43
"Colonial - Ft. Worth, TX",Pat Perez,OTT,0.26
"Colonial - Ft. Worth, TX",Patrick Reed,OTT,0.09
"Colonial - Ft. Worth, TX",Patrick Rodgers,OTT,0.43
"Colonial - Ft. Worth, TX",Rickie Fowler,OTT,-0.96
"Colonial - Ft. Worth, TX",Russell Knox,OTT,0.04
"Colonial - Ft. Worth, TX",Ryan Palmer,OTT,0.72
"Colonial - Ft. Worth, TX",Rory Sabbatini,OTT,-0.22
"Colonial - Ft. Worth, TX",Sam Burns,OTT,0.71
"Colonial - Ft. Worth, TX",Sungjae Im,OTT,0.66
"Colonial - Ft. Worth, TX",Sebastian Munoz,OTT,0.09
"Colonial - Ft. Worth, TX",Scottie Scheffler,OTT,1.03
"Colonial - Ft. Worth, TX",Scott Stallings,OTT,-0.11
"Colonial - Ft. Worth, TX",Sahith Theegala,OTT,-0.13
"Colonial - Ft. Worth, TX",Tyler Duncan,OTT,-0.17
"Colonial - Ft. Worth, TX",Tony Finau,OTT,0.62
"Colonial - Ft. Worth, TX",Tommy Fleetwood,OTT,-0.38
"Colonial - Ft. Worth, TX",Talor Gooch,OTT,-0.48
"Colonial - Ft. Worth, TX",Troy Merritt,OTT,-0.25
"Colonial - Ft. Worth, TX",Viktor Hovland,OTT,0.73
"Colonial - Ft. Worth, TX",Webb Simpson,OTT,0.08
"Colonial - Ft. Worth, TX",Zach Johnson,OTT,-0.03
"Southern Hills Country Club - Tulsa, OK",Abraham Ancer,OTT,0.68
"Southern Hills Country Club - Tulsa, OK",Adam Hadwin,OTT,-0.98
"Southern Hills Country Club - Tulsa, OK",Adam Schenk,OTT,-0.34
"Southern Hills Country Club - Tulsa, OK",Aaron Wise,OTT,-0.02
"Southern Hills Country Club - Tulsa, OK",Brian Harman,OTT,-0.53
"Southern Hills Country Club - Tulsa, OK",Billy Horschel,OTT,-0.42
"Southern Hills Country Club - Tulsa, OK",Beau Hossler,OTT,0.15
"Southern Hills Country Club - Tulsa, OK",Brooks Koepka,OTT,-0.25
"Southern Hills Country Club - Tulsa, OK",Brendan Steele,OTT,0.49
"Southern Hills Country Club - Tulsa, OK",Bubba Watson,OTT,0.39
"Southern Hills Country Club - Tulsa, OK",Bernd Wiesberger,OTT,0.26
"Southern Hills Country Club - Tulsa, OK",Cameron Davis,OTT,-0.24
"Southern Hills Country Club - Tulsa, OK",Chris Kirk,OTT,0.42
"Southern Hills Country Club - Tulsa, OK",Collin Morikawa,OTT,0.37
"Southern Hills Country Club - Tulsa, OK",Charl Schwartzel,OTT,-0.31
"Southern Hills Country Club - Tulsa, OK",Cameron Smith,OTT,0.7
"Southern Hills Country Club - Tulsa, OK",Cameron Tringale,OTT,0.38
"Southern Hills Country Club - Tulsa, OK",Cameron Young,OTT,1.75
"Southern Hills Country Club - Tulsa, OK",Denny McCarthy,OTT,-0.73
"Southern Hills Country Club - Tulsa, OK",Davis Riley,OTT,1.26
"Southern Hills Country Club - Tulsa, OK",Francesco Molinari,OTT,-0.84
"Southern Hills Country Club - Tulsa, OK",Gary Woodland,OTT,0.34
"Southern Hills Country Club - Tulsa, OK",Hideki Matsuyama,OTT,0.18
"Southern Hills Country Club - Tulsa, OK",Harold Varner III,OTT,-0.09
"Southern Hills Country Club - Tulsa, OK",Jason Day,OTT,0.13
"Southern Hills Country Club - Tulsa, OK",Justin Harding,OTT,-0.71
"Southern Hills Country Club - Tulsa, OK",Jason Kokrak,OTT,0.49
"Southern Hills Country Club - Tulsa, OK",Joaquin Niemann,OTT,0.84
"Southern Hills Country Club - Tulsa, OK",Jon Rahm,OTT,1.83
"Southern Hills Country Club - Tulsa, OK",Justin Rose,OTT,-0.22
"Southern Hills Country Club - Tulsa, OK",Jordan Spieth,OTT,0.76
"Southern Hills Country Club - Tulsa, OK",Justin Thomas,OTT,0.66
"Southern Hills Country Club - Tulsa, OK",Keegan Bradley,OTT,0.74
"Southern Hills Country Club - Tulsa, OK",Kramer Hickok,OTT,0.15
"Southern Hills Country Club - Tulsa, OK",Kyoung-Hoon Lee,OTT,0.47
"Southern Hills Country Club - Tulsa, OK",Keith Mitchell,OTT,1.52
"Southern Hills Country Club - Tulsa, OK",Kevin Na,OTT,-0.98
"Southern Hills Country Club - Tulsa, OK",Kevin Streelman,OTT,0.26
"Southern Hills Country Club - Tulsa, OK",Lucas Glover,OTT,0.2
"Southern Hills Country Club - Tulsa, OK",Lanto Griffin,OTT,-0.36
"Southern Hills Country Club - Tulsa, OK",Lucas Herbert,OTT,0.14
"Southern Hills Country Club - Tulsa, OK",Luke List,OTT,1.79
"Southern Hills Country Club - Tulsa, OK",Louis Oosthuizen,OTT,-0.07
"Southern Hills Country Club - Tulsa, OK",Matthew Fitzpatrick,OTT,0.48
"Southern Hills Country Club - Tulsa, OK",Max Homa,OTT,0.18
"Southern Hills Country Club - Tulsa, OK",Matt Kuchar,OTT,0.01
"Southern Hills Country Club - Tulsa, OK",Marc Leishman,OTT,0.7
"Southern Hills Country Club - Tulsa, OK",Maverick McNealy,OTT,-0.65
"Southern Hills Country Club - Tulsa, OK",Mito Pereira,OTT,0.22
"Southern Hills Country Club - Tulsa, OK",Patton Kizzire,OTT,-1.06
"Southern Hills Country Club - Tulsa, OK",Patrick Reed,OTT,-0.68
"Southern Hills Country Club - Tulsa, OK",Rickie Fowler,OTT,0.47
"Southern Hills Country Club - Tulsa, OK",Ryan Fox,OTT,0.03
"Southern Hills Country Club - Tulsa, OK",Russell Henley,OTT,-0.33
"Southern Hills Country Club - Tulsa, OK",Rikuya Hoshino,OTT,-0.33
"Southern Hills Country Club - Tulsa, OK",Sam Burns,OTT,0.3
"Southern Hills Country Club - Tulsa, OK",Stewart Cink,OTT,1.26
"Southern Hills Country Club - Tulsa, OK",Si Woo Kim,OTT,-0.7
"Southern Hills Country Club - Tulsa, OK",Shane Lowry,OTT,0.8
"Southern Hills Country Club - Tulsa, OK",Sebastian Munoz,OTT,-0.16
"Southern Hills Country Club - Tulsa, OK",Shaun Norris,OTT,-0.3
"Southern Hills Country Club - Tulsa, OK",Seamus Power,OTT,0.41
"Southern Hills Country Club - Tulsa, OK",Sepp Straka,OTT,-0.25
"Southern Hills Country Club - Tulsa, OK",Tony Finau,OTT,0.31
"Southern Hills Country Club - Tulsa, OK",Tommy Fleetwood,OTT,0.33
"Southern Hills Country Club - Tulsa, OK",Talor Gooch,OTT,0.49
"Southern Hills Country Club - Tulsa, OK",Tyrrell Hatton,OTT,0.14
"Southern Hills Country Club - Tulsa, OK",Tom Hoge,OTT,-0.84
"Southern Hills Country Club - Tulsa, OK",Troy Merritt,OTT,-0.24
"Southern Hills Country Club - Tulsa, OK",Thomas Pieters,OTT,-0.19
"Southern Hills Country Club - Tulsa, OK",Viktor Hovland,OTT,0.36
"Southern Hills Country Club - Tulsa, OK",Webb Simpson,OTT,0.54
"Southern Hills Country Club - Tulsa, OK",Will Zalatoris,OTT,0.5
"Southern Hills Country Club - Tulsa, OK",Xander Schauffele,OTT,0.82
"TPC Craig Ranch - McKinney, TX",Alexander Noren,OTT,0.69
"TPC Craig Ranch - McKinney, TX",Aaron Rai,OTT,-0.02
"TPC Craig Ranch - McKinney, TX",Adam Schenk,OTT,-0.13
"TPC Craig Ranch - McKinney, TX",Adam Scott,OTT,0.66
"TPC Craig Ranch - McKinney, TX",Adam Svensson,OTT,-0.76
"TPC Craig Ranch - McKinney, TX",Aaron Wise,OTT,0.21
"TPC Craig Ranch - McKinney, TX",Brice Garnett,OTT,-0.17
"TPC Craig Ranch - McKinney, TX",Branden Grace,OTT,0.12
"TPC Craig Ranch - McKinney, TX",Bill Haas,OTT,-0.99
"TPC Craig Ranch - McKinney, TX",Beau Hossler,OTT,0.58
"TPC Craig Ranch - McKinney, TX",Brandon Wu,OTT,-0.15
"TPC Craig Ranch - McKinney, TX",Christiaan Bezuidenhout,OTT,-0.37
"TPC Craig Ranch - McKinney, TX",Cameron Champ,OTT,1.19
"TPC Craig Ranch - McKinney, TX",Chesson Hadley,OTT,-0.98
"TPC Craig Ranch - McKinney, TX",Carlos Ortiz,OTT,-0.02
"TPC Craig Ranch - McKinney, TX",Charl Schwartzel,OTT,0.8
"TPC Craig Ranch - McKinney, TX",Dylan Frittelli,OTT,-0.02
"TPC Craig Ranch - McKinney, TX",Dustin Johnson,OTT,0.33
"TPC Craig Ranch - McKinney, TX",David Lipsky,OTT,0.58
"TPC Craig Ranch - McKinney, TX",Davis Riley,OTT,0.4
"TPC Craig Ranch - McKinney, TX",Emiliano Grillo,OTT,-0.22
"TPC Craig Ranch - McKinney, TX",Francesco Molinari,OTT,0.57
"TPC Craig Ranch - McKinney, TX",Hideki Matsuyama,OTT,0.43
"TPC Craig Ranch - McKinney, TX",Ian Poulter,OTT,-0.53
"TPC Craig Ranch - McKinney, TX",Joseph Bramlett,OTT,-0.04
"TPC Craig Ranch - McKinney, TX",Jason Day,OTT,-0.01
"TPC Craig Ranch - McKinney, TX",James Hahn,OTT,1.1
"TPC Craig Ranch - McKinney, TX",Joohyung Kim,OTT,-0.01
"TPC Craig Ranch - McKinney, TX",Jason Kokrak,OTT,0.98
"TPC Craig Ranch - McKinney, TX",Joaquin Niemann,OTT,1.05
"TPC Craig Ranch - McKinney, TX",J.J. Spaun,OTT,0.16
"TPC Craig Ranch - McKinney, TX",Jordan Spieth,OTT,0.95
"TPC Craig Ranch - McKinney, TX",Justin Thomas,OTT,0.29
"TPC Craig Ranch - McKinney, TX",Jhonattan Vegas,OTT,0.77
"TPC Craig Ranch - McKinney, TX",Kiradech Aphibarnrat,OTT,-0.36
"TPC Craig Ranch - McKinney, TX",Kyoung-Hoon Lee,OTT,0.57
"TPC Craig Ranch - McKinney, TX",Keith Mitchell,OTT,-0.15
"TPC Craig Ranch - McKinney, TX",Lanto Griffin,OTT,0.56
"TPC Craig Ranch - McKinney, TX",Michael Gligic,OTT,0.12
"TPC Craig Ranch - McKinney, TX",Mark Hubbard,OTT,-0.38
"TPC Craig Ranch - McKinney, TX",Matt Kuchar,OTT,0.01
"TPC Craig Ranch - McKinney, TX",Marc Leishman,OTT,-0.47
"TPC Craig Ranch - McKinney, TX",Maverick McNealy,OTT,-0.06
"TPC Craig Ranch - McKinney, TX",Matthew NeSmith,OTT,0.94
"TPC Craig Ranch - McKinney, TX",Mito Pereira,OTT,1.05
"TPC Craig Ranch - McKinney, TX",Matthias Schwab,OTT,-0.4
"TPC Craig Ranch - McKinney, TX",Michael Thompson,OTT,-0.64
"TPC Craig Ranch - McKinney, TX",Martin Trainer,OTT,-0.34
"TPC Craig Ranch - McKinney, TX",Nate Lashley,OTT,0.2
"TPC Craig Ranch - McKinney, TX",Paul Barjon,OTT,0.52
"TPC Craig Ranch - McKinney, TX",Patton Kizzire,OTT,-0.42
"TPC Craig Ranch - McKinney, TX",Peter Malnati,OTT,-0.04
"TPC Craig Ranch - McKinney, TX",Pat Perez,OTT,-0.06
"TPC Craig Ranch - McKinney, TX",Patrick Rodgers,OTT,0.78
"TPC Craig Ranch - McKinney, TX",Peter Uihlein,OTT,0.2
"TPC Craig Ranch - McKinney, TX",Ryan Palmer,OTT,1.0
"TPC Craig Ranch - McKinney, TX",Rory Sabbatini,OTT,-0.02
"TPC Craig Ranch - McKinney, TX",Stephan Jaeger,OTT,-0.18
"TPC Craig Ranch - McKinney, TX",Sebastian Munoz,OTT,0.53
"TPC Craig Ranch - McKinney, TX",Seamus Power,OTT,-0.09
"TPC Craig Ranch - McKinney, TX",Seth Reeves,OTT,0.54
"TPC Craig Ranch - McKinney, TX",Scottie Scheffler,OTT,0.29
"TPC Craig Ranch - McKinney, TX",Scott Stallings,OTT,0.04
"TPC Craig Ranch - McKinney, TX",Sepp Straka,OTT,0.07
"TPC Craig Ranch - McKinney, TX",Sahith Theegala,OTT,-0.3
"TPC Craig Ranch - McKinney, TX",Tyler Duncan,OTT,-0.08
"TPC Craig Ranch - McKinney, TX",Tommy Fleetwood,OTT,0.91
"TPC Craig Ranch - McKinney, TX",Tom Hoge,OTT,-0.19
"TPC Craig Ranch - McKinney, TX",Taylor Moore,OTT,0.7
"TPC Craig Ranch - McKinney, TX",Trey Mullinax,OTT,0.43
"TPC Craig Ranch - McKinney, TX",Vaughn Taylor,OTT,-0.68
"TPC Craig Ranch - McKinney, TX",Vincent Whaley,OTT,-0.16
"TPC Craig Ranch - McKinney, TX",Wesley Bryan,OTT,-1.11
"TPC Craig Ranch - McKinney, TX",Xander Schauffele,OTT,0.68
"TPC Potomac at Avenel Farm - Potomac, MD",Abraham Ancer,OTT,0.46
"TPC Potomac at Avenel Farm - Potomac, MD",Anirban Lahiri,OTT,0.72
"TPC Potomac at Avenel Farm - Potomac, MD",Adam Schenk,OTT,0.32
"TPC Potomac at Avenel Farm - Potomac, MD",Brian Harman,OTT,0.75
"TPC Potomac at Avenel Farm - Potomac, MD",Ben Martin,OTT,1.19
"TPC Potomac at Avenel Farm - Potomac, MD",Brendan Steele,OTT,0.4
"TPC Potomac at Avenel Farm - Potomac, MD",Corey Conners,OTT,1.3
"TPC Potomac at Avenel Farm - Potomac, MD",C.T. Pan,OTT,0.86
"TPC Potomac at Avenel Farm - Potomac, MD",Chez Reavie,OTT,-0.19
"TPC Potomac at Avenel Farm - Potomac, MD",Chase Seiffert,OTT,-0.04
"TPC Potomac at Avenel Farm - Potomac, MD",Camilo Villegas,OTT,-0.69
"TPC Potomac at Avenel Farm - Potomac, MD",Cameron Young,OTT,1.52
"TPC Potomac at Avenel Farm - Potomac, MD",Dylan Frittelli,OTT,0.53
"TPC Potomac at Avenel Farm - Potomac, MD",David Lingmerth,OTT,-0.53
"TPC Potomac at Avenel Farm - Potomac, MD",Denny McCarthy,OTT,-0.1
"TPC Potomac at Avenel Farm - Potomac, MD",Dylan Wu,OTT,0.23
"TPC Potomac at Avenel Farm - Potomac, MD",Hank Lebioda,OTT,-0.58
"TPC Potomac at Avenel Farm - Potomac, MD",Henrik Norlander,OTT,-0.76
"TPC Potomac at Avenel Farm - Potomac, MD",Joel Dahmen,OTT,-0.32
"TPC Potomac at Avenel Farm - Potomac, MD",Jason Day,OTT,0.02
"TPC Potomac at Avenel Farm - Potomac, MD",James Hahn,OTT,0.19
"TPC Potomac at Avenel Farm - Potomac, MD",J.T. Poston,OTT,0.72
"TPC Potomac at Avenel Farm - Potomac, MD",Jhonattan Vegas,OTT,-1.45
"TPC Potomac at Avenel Farm - Potomac, MD",Keegan Bradley,OTT,1.17
"TPC Potomac at Avenel Farm - Potomac, MD",Kevin Chappell,OTT,-0.41
"TPC Potomac at Avenel Farm - Potomac, MD",Kurt Kitayama,OTT,0.65
"TPC Potomac at Avenel Farm - Potomac, MD",Kelly Kraft,OTT,0.31
"TPC Potomac at Avenel Farm - Potomac, MD",Kyoung-Hoon Lee,OTT,0.0
"TPC Potomac at Avenel Farm - Potomac, MD",Luke Donald,OTT,-0.97
"TPC Potomac at Avenel Farm - Potomac, MD",Lanto Griffin,OTT,1.03
"TPC Potomac at Avenel Farm - Potomac, MD",Luke List,OTT,1.01
"TPC Potomac at Avenel Farm - Potomac, MD",Matthew Fitzpatrick,OTT,1.21
"TPC Potomac at Avenel Farm - Potomac, MD",Michael Gligic,OTT,0.65
"TPC Potomac at Avenel Farm - Potomac, MD",Max Homa,OTT,1.47
"TPC Potomac at Avenel Farm - Potomac, MD",Mackenzie Hughes,OTT,0.65
"TPC Potomac at Avenel Farm - Potomac, MD",Matt Kuchar,OTT,-0.68
"TPC Potomac at Avenel Farm - Potomac, MD",Martin Laird,OTT,0.24
"TPC Potomac at Avenel Farm - Potomac, MD",Matthew NeSmith,OTT,0.01
"TPC Potomac at Avenel Farm - Potomac, MD",Michael Thompson,OTT,-0.43
"TPC Potomac at Avenel Farm - Potomac, MD",Matthew Wolff,OTT,-0.17
"TPC Potomac at Avenel Farm - Potomac, MD",Nick Taylor,OTT,0.41
"TPC Potomac at Avenel Farm - Potomac, MD",Paul Barjon,OTT,0.87
"TPC Potomac at Avenel Farm - Potomac, MD",Peter Malnati,OTT,-0.6
"TPC Potomac at Avenel Farm - Potomac, MD",Ryan Armour,OTT,0.36
"TPC Potomac at Avenel Farm - Potomac, MD",Rickie Fowler,OTT,-0.38
"TPC Potomac at Avenel Farm - Potomac, MD",Russell Henley,OTT,0.46
"TPC Potomac at Avenel Farm - Potomac, MD",Russell Knox,OTT,0.48
"TPC Potomac at Avenel Farm - Potomac, MD",Rory Sabbatini,OTT,-0.07
"TPC Potomac at Avenel Farm - Potomac, MD",Stewart Cink,OTT,0.51
"TPC Potomac at Avenel Farm - Potomac, MD",Sergio Garcia,OTT,0.36
"TPC Potomac at Avenel Farm - Potomac, MD",Stephan Jaeger,OTT,0.12
"TPC Potomac at Avenel Farm - Potomac, MD",Si Woo Kim,OTT,0.32
"TPC Potomac at Avenel Farm - Potomac, MD",Scott Piercy,OTT,0.12
"TPC Potomac at Avenel Farm - Potomac, MD",Tony Finau,OTT,1.51
"TPC Potomac at Avenel Farm - Potomac, MD",Tyrrell Hatton,OTT,0.74
"TPC Potomac at Avenel Farm - Potomac, MD",Troy Merritt,OTT,0.74
"TPC Potomac at Avenel Farm - Potomac, MD",Taylor Moore,OTT,0.31
"Vidanta Vallarta - Villa Hidalgo, Mexico",Abraham Ancer,OTT,0.81
"Vidanta Vallarta - Villa Hidalgo, Mexico",Anirban Lahiri,OTT,0.46
"Vidanta Vallarta - Villa Hidalgo, Mexico",Adam Long,OTT,0.62
"Vidanta Vallarta - Villa Hidalgo, Mexico",Alvaro Ortiz,OTT,-0.47
"Vidanta Vallarta - Villa Hidalgo, Mexico",Aaron Rai,OTT,0.82
"Vidanta Vallarta - Villa Hidalgo, Mexico",Alex Smalley,OTT,1.26
"Vidanta Vallarta - Villa Hidalgo, Mexico",Aaron Wise,OTT,0.08
"Vidanta Vallarta - Villa Hidalgo, Mexico",Brice Garnett,OTT,0.67
"Vidanta Vallarta - Villa Hidalgo, Mexico",Bill Haas,OTT,-1.21
"Vidanta Vallarta - Villa Hidalgo, Mexico",Brandon Hagy,OTT,0.75
"Vidanta Vallarta - Villa Hidalgo, Mexico",Bryson Nimmer,OTT,-0.61
"Vidanta Vallarta - Villa Hidalgo, Mexico",Brian Stuard,OTT,-0.74
"Vidanta Vallarta - Villa Hidalgo, Mexico",Brendon Todd,OTT,0.14
"Vidanta Vallarta - Villa Hidalgo, Mexico",Brandon Wu,OTT,1.15
"Vidanta Vallarta - Villa Hidalgo, Mexico",Cameron Champ,OTT,1.47
"Vidanta Vallarta - Villa Hidalgo, Mexico",Charles Howell III,OTT,1.31
"Vidanta Vallarta - Villa Hidalgo, Mexico",Carlos Ortiz,OTT,-0.14
"Vidanta Vallarta - Villa Hidalgo, Mexico",C.T. Pan,OTT,0.61
"Vidanta Vallarta - Villa Hidalgo, Mexico",Chez Reavie,OTT,-0.83
"Vidanta Vallarta - Villa Hidalgo, Mexico",Cameron Tringale,OTT,-0.49
"Vidanta Vallarta - Villa Hidalgo, Mexico",Doug Ghim,OTT,1.12
"Vidanta Vallarta - Villa Hidalgo, Mexico",David Lipsky,OTT,0.44
"Vidanta Vallarta - Villa Hidalgo, Mexico",D.A. Points,OTT,-1.74
"Vidanta Vallarta - Villa Hidalgo, Mexico",Davis Riley,OTT,0.79
